cid,upc,oid,dt,r_dt,prc,qty,amt,r_qty,r_amt,web_prod_id,GMM_DESC,PARENT_MDSE_DIVN_DESC
11372460,3360380000000,1219862010,03-08-2016,,42,1,42,,,3606,BEAUTY,FRAGRANCES
11372460,3360380000000,1296854586,11/14/2016,,42,1,42,,,3606,BEAUTY,FRAGRANCES
11262005,3380810000000,1210225214,03-07-2016,,38,2,76,,,43422,BEAUTY,COSMETICS
11262005,3380810000000,1216116486,7/25/2016,,38,1,38,,,43422,BEAUTY,COSMETICS
10794724,88300101405,1206223486,11-06-2016,,82,1,82,,,3535,BEAUTY,FRAGRANCES
10794724,88300101405,1375539096,1/28/2017,,86,1,86,,,3535,BEAUTY,FRAGRANCES
11524414,3360370000000,1246578711,9/23/2016,,80,1,80,,,3652,BEAUTY,FRAGRANCES
11524414,3360370000000,1283687079,06-11-2016,,80,1,80,,,3652,BEAUTY,FRAGRANCES
11289065,24258073333,1209341008,6/29/2016,,65,1,65,,,97891,HOME,SOFT HOME
11289065,24258073333,1188637061,3/14/2016,,52,1,52,,,97891,HOME,SOFT HOME
12386699,20714012786,1327487454,02-12-2016,,30.97,3,92.91,,,75334,BEAUTY,COSMETICS
12386699,20714012786,1231178868,8/25/2016,,37,3,111,,,75334,BEAUTY,COSMETICS
12334463,19585542515,1211470826,7/13/2016,01-08-2016,11.7,1,11.7,1,11.7,3212,CENTER CORE,INTIMATE APPAREL/HOSIERY
12334463,19585542515,1211470846,8/15/2016,,11.7,1,11.7,,,3212,CENTER CORE,INTIMATE APPAREL/HOSIERY
10939388,85447416751,1206718911,12-06-2016,,11.89,1,11.89,,,3239,CENTER CORE,INTIMATE APPAREL/HOSIERY
10939388,85447416751,1204392385,5/31/2016,,32,1,32,,,3239,CENTER CORE,INTIMATE APPAREL/HOSIERY
11425789,19585228006,1302058941,11/20/2016,03-12-2016,10,1,10,1,10,3239,CENTER CORE,INTIMATE APPAREL/HOSIERY
11425789,19585228006,1206281571,11-06-2016,6/18/2016,16.99,1,16.99,1,16.99,3239,CENTER CORE,INTIMATE APPAREL/HOSIERY
15857350,3605970000000,1223863302,12-08-2016,,27,1,27,,,35256,BEAUTY,COSMETICS
15857350,3605970000000,1183374605,12-02-2016,,27,1,27,,,35256,BEAUTY,COSMETICS
11670622,3605970000000,1226530068,8/19/2016,,27,1,27,,,35256,BEAUTY,COSMETICS
11670622,3605970000000,1211352920,7/13/2016,,27,2,54,,,35256,BEAUTY,COSMETICS
11588218,20714008000,1208845900,6/24/2016,,13,1,13,,,75136,BEAUTY,COSMETICS
11588218,20714008000,1261744845,10/14/2016,,13.5,1,13.5,,,75136,BEAUTY,COSMETICS
15595056,20714008000,1190976868,3/27/2016,,13,3,39,,,75136,BEAUTY,COSMETICS
11454535,20714008000,1210594651,06-07-2016,7/18/2016,13,1,13,1,13,75136,BEAUTY,COSMETICS
15595056,20714008000,CH16800182661,08-10-2016,,13.5,2,27,,,75136,BEAUTY,COSMETICS
11454535,20714008000,JH16371224758,7/13/2016,,13,1,13,,,75136,BEAUTY,COSMETICS
11454535,20714008000,1185063630,2/20/2016,,13,1,13,,,75136,BEAUTY,COSMETICS
